iter	Passed	Remaining
0	5	5318
1	10	5333
2	15	5314
3	21	5321
4	26	5289
5	31	5264
6	37	5285
7	42	5262
8	47	5229
9	53	5307
10	59	5329
11	64	5312
12	70	5372
13	76	5359
14	81	5343
15	87	5402
16	93	5409
17	99	5418
18	105	5421
19	110	5405
20	116	5434
21	122	5427
22	127	5421
23	133	5443
24	139	5435
25	144	5425
26	151	5447
27	157	5457
28	162	5441
29	169	5487
30	175	5477
31	181	5500
32	187	5498
33	193	5488
34	201	5551
35	206	5537
36	212	5529
37	218	5543
38	224	5541
39	230	5537
40	236	5526
41	241	5511
42	247	5504
43	253	5504
44	258	5491
45	264	5485
46	269	5471
47	275	5457
48	280	5445
49	286	5437
50	291	5423
51	298	5436
52	304	5440
53	311	5465
54	320	5498
55	327	5512
56	332	5502
57	338	5491
58	343	5480
59	348	5467
60	354	5454
61	359	5445
62	365	5433
63	370	5423
64	376	5420
65	382	5410
66	387	5400
67	393	5392
68	398	5382
69	404	5374
70	410	5366
71	415	5354
72	420	5344
73	426	5337
74	432	5328
75	437	5318
76	442	5307
77	448	5297
78	453	5286
79	458	5278
80	464	5269
81	469	5259
82	475	5254
83	481	5246
84	486	5236
85	492	5229
86	497	5218
87	502	5210
88	508	5201
89	513	5192
90	518	5182
91	524	5176
92	529	5166
93	535	5157
94	541	5154
95	546	5145
96	551	5137
97	558	5136
98	563	5129
99	569	5121
100	575	5120
101	580	5113
102	586	5107
103	592	5108
104	598	5101
105	603	5091
106	610	5096
107	618	5109
108	628	5137
109	633	5129
110	640	5126
111	645	5118
112	650	5109
113	657	5108
114	663	5102
115	668	5094
116	675	5097
117	681	5091
118	686	5084
119	692	5078
120	698	5072
121	703	5065
122	710	5064
123	715	5055
124	721	5049
125	726	5041
126	732	5033
127	737	5025
128	743	5017
129	748	5009
130	754	5002
131	759	4994
132	765	4986
133	770	4980
134	776	4973
135	781	4965
136	787	4959
137	792	4951
138	799	4951
139	808	4964
140	815	4970
141	829	5011
142	839	5029
143	847	5039
144	854	5039
145	860	5034
146	866	5028
147	872	5023
148	879	5022
149	885	5018
150	896	5042
151	909	5076
152	920	5097
153	930	5113
154	940	5127
155	952	5152
156	964	5176
157	972	5183
158	983	5203
159	991	5202
160	1000	5215
161	1011	5232
162	1017	5224
163	1024	5222
164	1033	5231
165	1045	5252
166	1057	5275
167	1069	5295
168	1082	5321
169	1093	5340
170	1105	5359
171	1110	5347
172	1117	5341
173	1122	5330
174	1128	5319
175	1134	5313
176	1140	5302
177	1145	5292
178	1151	5282
179	1156	5270
180	1163	5265
181	1169	5254
182	1174	5243
183	1183	5250
184	1189	5239
185	1195	5230
186	1203	5232
187	1208	5221
188	1214	5211
189	1220	5201
190	1225	5190
191	1230	5179
192	1236	5170
193	1242	5161
194	1248	5152
195	1253	5141
196	1258	5131
197	1264	5120
198	1269	5111
199	1275	5101
200	1280	5091
201	1285	5079
202	1292	5076
203	1301	5079
204	1309	5076
205	1314	5066
206	1319	5056
